@relation Training

@attribute Label {Malware,Goodware}
@attribute Protocol numeric
@attribute 'Address A' numeric
@attribute 'Port A' numeric
@attribute 'Address B' numeric
@attribute 'Port B' numeric
@attribute 'Packets A - B' numeric
@attribute 'Bytes A - B' numeric
@attribute 'Packets B - A' numeric
@attribute 'Bytes B - A' numeric

@data
Malware,17,167772687,137,167772927,137,24,2640,24,2640
Malware,17,167772687,138,167772927,138,13,3072,13,3072
Malware,17,4026531834,1900,167772687,1042,0,0,3,525
Malware,17,167772687,68,167772674,67,0,0,2,1180
Malware,17,4026531834,1900,167772687,1038,0,0,1,175
Malware,17,1534580736,6892,167772687,1045,0,0,1,67
Malware,17,1534580737,6892,167772687,1045,0,0,1,67
Malware,17,1534580738,6892,167772687,1045,0,0,1,67
Malware,17,1534580739,6892,167772687,1045,0,0,1,67
Malware,17,1534580740,6892,167772687,1045,0,0,1,67
Malware,17,1534580741,6892,167772687,1045,0,0,1,67
Malware,17,1534580742,6892,167772687,1045,0,0,1,67
Malware,17,1534580743,6892,167772687,1045,0,0,1,67
Malware,17,1534580744,6892,167772687,1045,0,0,1,67
Malware,17,1534580745,6892,167772687,1045,0,0,1,67
Malware,17,1534580746,6892,167772687,1045,0,0,1,67
Malware,17,1534580747,6892,167772687,1045,0,0,1,67
Malware,17,1534580748,6892,167772687,1045,0,0,1,67
Malware,17,1534580749,6892,167772687,1045,0,0,1,67
Malware,17,1534580750,6892,167772687,1045,0,0,1,67
Malware,17,1534580751,6892,167772687,1045,0,0,1,67
Malware,17,1534580752,6892,167772687,1045,0,0,1,67
Malware,17,1534580753,6892,167772687,1045,0,0,1,67
Malware,17,1534580754,6892,167772687,1045,0,0,1,67
Malware,17,1534580755,6892,167772687,1045,0,0,1,67
Malware,17,1534580756,6892,167772687,1045,0,0,1,67
Malware,17,1534580757,6892,167772687,1045,0,0,1,67
Malware,17,1534580758,6892,167772687,1045,0,0,1,67
Malware,17,1534580759,6892,167772687,1045,0,0,1,67
Malware,17,1534580760,6892,167772687,1045,0,0,1,67
Malware,17,1534580761,6892,167772687,1045,0,0,1,67
Malware,17,1534580762,6892,167772687,1045,0,0,1,67
Malware,17,1534580763,6892,167772687,1045,0,0,1,67
Malware,17,1534580764,6892,167772687,1045,0,0,1,67
Malware,17,1534580765,6892,167772687,1045,0,0,1,67
Malware,17,1534580766,6892,167772687,1045,0,0,1,67
Malware,17,1534580767,6892,167772687,1045,0,0,1,67
Malware,17,1534646272,6892,167772687,1045,0,0,1,67
Malware,17,1534646273,6892,167772687,1045,0,0,1,67
Malware,17,1534646274,6892,167772687,1045,0,0,1,67
